# Generated from CC-CEDICT. Do not edit manually.
# direction<TAB>key<TAB>candidate...
e	a couple	夫婦	耦
e	a couple of	尐
e	a couple of times	兩下子
e	a cover-up	隱飾
e	a covering flap	厴
e	a crack	璺
e	a crack force	勁卒
e	a crafty escape plan	金蟬脫殼
e	a crafty person	奸細
e	a crafty villain	奸徒
e	a craze	熱捧
e	a crick	扭傷
e	a cricket	蛩
e	a crime against humanity	反人道罪
e	a criminal	刑事犯
e	a criminal case	罪案
e	a criminal gang	犯罪團伙
e	a cripple	瘸腿
e	a crispy fried cracker	薄脆
e	a cross	磨難
e	a crown	頭冠
e	a cry of alarm	嘵
e	a cry of rage	嚗
e	a crystal	結晶體
e	a cudgel	笞杖
e	a cunning plot	花花腸子
e	a customs officer	稅官
e	a cut above	加人一等	更勝一籌	略勝一籌
e	a cut above others	高人一等
e	a dab hand	巧手
e	a dad	寶爸
e	a damn thing	屁
e	a dandy	唐璜
e	a danger	危及
e	a danger appears	出險
e	a daoist	道教徒
e	a dark sea	溟海
e	a date	日子	約會對象
e	a dead calm	風平浪靜	風恬浪靜
e	a dead loss	雞飛蛋打
e	a deal	約定
e	a decline	衰退
e	a deed	契
e	a deep fryer	油鍋
e	a deep throat	深喉
e	a defeat	滑鐵盧	鼻青眼腫
e	a defense	抗辯
e	a definite plan	具體計劃
e	a deformed child	殘疾兒
e	a delegation	使節團
e	a deliberate wrongdoing	缺德事
e	a delicacy	煉珍
e	a demerger	分拆
e	a demonstration	示威
e	a demoted official	貶官
e	a departing gift	留別
e	a detailed list	明細表
e	a devastating criticism	誅心之論
e	a developable surface	可展曲面
e	a diagonal	對角線
e	a different matter	別論
e	a digest	選錄
e	a digital scan	數碼掃描
e	a dike breaks	開口子
e	a din	噪雜	雜噪
e	a diplomatic group	使節團
e	a diplomatic note	照會
e	a diplomatic representative	代辦
e	a dirge	挽歌
e	a disciple	傳人
e	a discovery	發現
e	a disdainful look	白眼
e	a disgrace	羞慚
e	a disparate collection	雜燴
e	a dispatch	調遣
e	a dispute	爭辯
e	a dissecting room	解剖室
e	a dissection	解
e	a distant location	遠方
e	a district magistrate	太爺
e	a diversion	疑陣	解悶
e	a documentary film	資料片
e	a dome	拱頂	穹窿
e	a dope	二百五
e	a double-check	驗算
e	a doubtful case	疑案
e	a doubtful point	疑義	疑點
e	a downpour	傾盆
e	a dozen or more	十數
e	a draw	平局
e	a dream	理想
e	a dream come true	得誌	美夢成真
e	a drier	乾燥機
e	a drill	炮釺	釺
e	a drip	點滴
e	a dripstone	滴石
e	a drop	渧	滴
e	a drum tower	鼓樓
e	a dry cough	乾咳
e	a dry ditch	堭
e	a duel	決鬥
e	a dusting	敷粉
e	a face without makeup	素顏
e	a face-lift	翻新
e	a factor	起因
e	a failing	失靈
e	a fall	跤
e	a fall from grace	墮落
e	a fallen nation	亡國
e	a family member	鄉戚
e	a family tree	家族樹
e	a family wrenched apart	妻離子散
e	a famous person	顯赫人物
e	a famous wine	名酒
e	a far-fetched interpretation	望文生義
e	a faraway place	天涯
e	a fashion show	走秀
e	a fast	禁食	齋期
e	a fastener	卡
e	a fault	尤
e	a faux pas	得罪
e	a fax	傳真
e	a feeling	感受
e	a fence	籬
e	a ferry	沆
e	a ferry crossing	津
e	a few	兩	少量	幾個
e	a few ago	前些
e	a few days ago	前幾天	日前
e	a few days before	前幾天
e	a few words	兩句
e	a filter	濾清器
e	a find	發現物
e	a fine	罰鍰
e	a fine distinction	一線之間	一線之隔
e	a fine line	一線之間	一線之隔
e	a fine thing	美事
e	a finished product	成品
e	a fit	一陣	擬合
e	a flag carrier	旗手
e	a flare	閃亮
e	a flash	掣電	閃
e	a flash of realization	頓悟
e	a flash of understanding	豁然
e	a flood	洪流	淼
e	a flourishing period	盛世	盛季
e	a foil	烘托
e	a follower of daoism	道教徒
e	a fool's paradise	燕雀處堂	處堂燕雀
e	a fop	唐璜
e	a force	兵	勢力
e	a forced draft	鼓風
e	a ford	津
e	a form	表
e	a former incarnation	上輩子
e	a fortune in misfortune	不幸之幸
e	a forward	前鋒
e	a foul	犯規
e	a fountain	噴水池
e	a fraudulent purchase	套購
e	a fray	戰團
e	a freckle	雀	雀子
e	a frigate	衛艦
e	a front	陣線
e	a frugal life	枕石漱流
e	a full month	匝月
e	a full mouth of	滿口	滿嘴
e	a full view	彌望
e	a functional	泛函
e	a funeral	殯
e	a fuse	信管
e	a fuss about nothing	殺人不過頭點地
e	a futile quarrel	鄭人爭年
e	a galactic nebula	銀河星雲
e	a galaxy of talent	人才濟濟
e	a game of chess	棋
e	a gang of rogues	狐群狗黨
e	a gangway	趒
e	a gap	間斷
e	a gasp of surprise	驚嘆
e	a gauge block	塊規
e	a general	將
e	a general narrative	綜述
e	a general or admiral	大將
e	a general overview	總覽
e	a genius	賢才
e	a geodesic	大地線	測地線	短程線
e	a get-together	糾合
e	a ghastly sight	怵目驚心	觸目驚心
e	a giant among men	人中龍鳳
e	a gifted person	可人
e	a glance	一眼
e	a gleam of hope	一線希望
e	a glimmer	熒	熒熒
e	a glimpse	一眼
e	a glint	閃射
e	a glued joint	膠接
e	a glutton for punishment	甘之如飴
e	a go-between	牽頭
e	a goblin	靈怪
e	a gold mine	肥肉
e	a golden age	盛世
e	a golden couple	金童玉女
e	a golden opportunity	良機
e	a good beginning	開門紅
e	a good chance	良機
e	a good deal of	好些
e	a good meal	牙祭
e	a good remedy	良藥
e	a good while	良久
e	a good wife	賢內助
e	a good word	好話
e	a good-for-nothing	吃貨	小混混	窩囊廢	膿包	草包	菜包子	飯桶
e	a good-for-nothing adviser	狗頭軍師
e	a gorge	澗峽
e	a grave	塋	墦
e	a great age	遐年
e	a great blessing	大福
e	a great life-saving favor	恩同再造
e	a great name	重名
e	a great number	悠悠	萬
e	a group	集體
e	a group of beggars	丐幫
e	a group of springs	灥
e	a grown man	大男人
e	a guard	守衛者
e	a guide	帶路人
e	a guild	會社
e	a guilty conscience	虧心
e	a guitar	吉它
e	a gun	槍支
e	a gunman	槍匪
e	a hair	毫髮
e	a hair's breadth apart	一線之間
e	a half-beat behind	慢半拍
e	a halo	靈光
e	a hammerhead shark	錘頭鯊
e	a han family name	漢姓
e	a hand basin	洗臉盤
e	a handle	把兒	拉手	提手
e	a handstand	倒立
e	a hard time	受罪
e	a hard wood	槢	陰桫
e	a harpsichord	大鍵琴
e	a headwind	逆風
e	a heap	砢
e	a heap of stones	磥
e	a hebrew	希伯來人
e	a helping hand	援助之手
e	a heretic	異端者
e	a hermaphrodite	雌雄同體人
e	a hick	老帽兒
e	a high	嗨	快感	高位
e	a high mountain	磪
e	a high-class upright character	高風峻節
e	a highly capable person	強人
e	a hindrance	無利
e	a hint of	一星半點
e	a hit	佳評如潮
e	a hoard	祕藏
e	a hoe	耙	耠	鋤
e	a hole	破洞
e	a hook	搭鉤
e	a hoop	環箍
e	a hopeless endeavor	水中撈月
e	a horde of horses	驫
e	a horizontal cut	橫切
e	a horizontal inscribed board	匾額
e	a hospital drip	靜點
e	a hot property	搶手貨
e	a hot tourist attraction	旅遊熱點
e	a household	戶
e	a household name	婦孺皆知	家喻戶曉	盡人皆知	路人皆知
e	a household's economic situation	家計
e	a huge amount	卷帙浩繁
e	a huge boulder	砬
e	a huge letdown	不給力
e	a human rights activist	人權鬥士
e	a humpback bridge	羅鍋橋
e	a hunchback	羅鍋
e	a hundred or more	百餘
e	a hundred or so	百兒八十	百十
e	a hundred percent	不折不扣	百分之百
e	a hydroxide	氫氧化物
e	a jade statuette	玉人
e	a jade worker	玉人
e	a jail	監押
e	a jar without ears	甋
e	a jesuit	耶穌會士	耶酥會士
e	a joint	對接
e	a joint decision	公決
e	a joint venture	合營
e	a jot	紋絲
e	a keen edge	鋹
e	a kickback	回扣
e	a kidnapping	綁架
e	a kind of bamboo	筃	篃
e	a kind of cake	雲片糕
e	a kind of earthworm	笄蛭
e	a kind of gibbon	夒	猱
e	a kind of grass	蕔
e	a kind of hawk	鶗
e	a kind of herb	蘻
e	a kind of insect	蚽
e	a kind of jade	㻬	玗	玞	玢	珅	珒	珚	珝	珦	珷
e	a kind of nightingale	鴠
e	a kind of otter	猵
e	a kind of pearl	珹
e	a kind of rat	鼭
e	a kind of reed	萑
e	a kind of sackcloth	綀
e	a kind of shell	蚆
e	a kind of tree	橎
e	a kind of vase	瓿
e	a kind of vegetable	䕭
e	a knell	敲喪鐘
e	a knight-errant	遊俠騎士
e	a knockout competition	淘汰賽
e	a knot	繨
e	a korean	思密達
e	a ladies man	唐璜
e	a lady's chamber	閨窗
e	a lady's room	蘭室	蘭閨
e	a lame person	瘸腿
e	a lament	感遇詩
e	a lance	戣
e	a landing-stage	棧橋
e	a landslide	山泥傾瀉
e	a large body of	大隊
e	a large landowner	大地主
e	a large number	大數	成百上千
e	a large sum of	大筆
e	a lasso	套索	套繩
e	a latch	鎖定
e	a lathe	機床
e	a law	律條
e	a law unto oneself	獨斷專行	獨斷獨行
e	a laxative	通便劑
e	a lazybones	懶貓
e	a leading light	當世之冠	當世冠
e	a leak	漏洩
e	a leap forward	躍進
e	a learned person	腹笥便便
e	a leather drive belt	皮帶傳動
e	a ledger	分類帳	賬冊
e	a legacy	留傳
e	a legalist	法家
e	a legendary wolf	狽
e	a length of hair	髮腳
e	a lesbian	女同
e	a letter	簡帖	簡帖兒
e	a letter of condolence	唁信
e	a libation	奠酒	弔祭
e	a lie	假話
e	a life raft	救生筏
e	a lifetime	一輩子
e	a lifetime ago	隔世
e	a lighter	駁
e	a limited extent	小範圍
e	a line of verse	一句
e	a liquid	液
e	a list	列舉
e	a little	啲	有一點兒	有點	有點兒	稍	稍稍	稍許
e	a little bit	一抿子	一點點	半分	少量	稍微	點滴
e	a little earlier	稍早時
e	a little early	稍早
e	a little more than	冒頭	出頭
e	a little while	一時半晌	一時半會	一時半霎	少選
e	a little while ago	頃
e	a live stream	直播間
e	a lively party	履舄交錯
e	a living being	噍類
e	a living buddha	活菩薩
e	a loan	貸	貸款
e	a local person	當地居民
e	a lock	鎖	鎖定	鎖頭
e	a lockout	關廠
e	a logging area	伐木場
e	a lolita	蘿莉
e	a loner	落落難合
e	a long distance	千里
e	a long talk	長談
e	a long time	久長	八輩子	半天	半晌	半響	多久	老半天	良久
e	a long time ago	老早
e	a long time since	久已
e	a long-term plan	遠謀
e	a look	妝容
e	a loom	機杼
e	a loop	旋
e	a loss	折本	折錢
e	a lot	多多	頗多
e	a lot of	許多
e	a lot of people	千夫
e	a lottery	抽獎
e	a loud rumble	轟然
e	a louvre	通氣孔
e	a love nest	香巢
e	a lovely young couple	金童玉女
e	a low fever	低燒
e	a low fire	微火
e	a lucky chance	幸事
e	a lull	暫息
e	a luminary	顯赫人物
e	a lunette	弦月窗
e	a luxury	奢麗
e	a majority	太半	泰半
e	a make-or-break matter	存亡攸關
e	a male	男人	男性
e	a man	男人	男人家	男兒
e	a man of character	大丈夫
e	a man of merit	賢士
e	a manchu	滿人
e	a maneuver	招
e	a manhunt	搜捕
e	a manly man	大丈夫
e	a marble	彈珠	玻璃球
e	a mark	印
e	a married couple	匹偶
e	a martial art	太極拳
e	a martial arts novel	武俠小說
e	a mass	堆	質量塊
e	a mass of flowers	繁花
e	a mastermind	諸葛亮
e	a masterpiece	力作
e	a mate	耦
e	a matter for derision	話柄
e	a matter for regret	憾事
e	a matter for ridicule	笑柄
e	a matter of	關於
e	a matter of course	天經地義
e	a maxim	處世原則	處事原則
e	a maze	迷津
e	a maze of doubts	疑團
e	a mechanic	機械工
e	a mechanical planter	栽種機
e	a meeting of heroes	群英會
e	a meeting of minds	蘭交	靈犀
e	a meeting point	匯點
e	a melody	腔調
e	a member	一員
e	a memo book	記事簿
e	a memory	印象
e	a mere skeleton	骨頭架子
e	a mess of bookkeeping	糊塗賬
e	a message of condolence	唁函
e	a metaphor	喻
e	a meteorologist	氣象學者
e	a meter	表
e	a method of decoration	開光
e	a mexican	老墨
e	a million miles	十萬八千里
e	a mine	礦	礦井	礦場
e	a mine shaft	礦井
e	a miniature	微雕
e	a ministry	省
e	a minor matter	小節
e	a miracle	生死肉骨
e	a miscarriage	小產	錯案
e	a miscellany	雜記	雜集
e	a misjudged legal case	錯案
e	a mission	傳教團
e	a mistake	走眼
e	a misty path	霞徑
e	a mix	夾雜
e	a mixture	融合
e	a moat	洫
e	a mob of people	暴民
e	a mobile	動態雕塑
e	a modal particle indicating	罷了
e	a model	表
e	a model example	示範
e	a moldy smell	霉氣
e	a mole	臥底
e	a mom	寶媽
e	a moment	一剎那	一會	一會兒	會	會子	歇	片刻	片時	臾	臾須
e	a moment ago	剛才
e	a moment of enlightenment	頓悟
e	a monk's alms bowl	缽
e	a monosyllable	單音節
e	a monument	碑
e	a moor	摩爾人
e	a mortgage	按揭
e	a motley collection	七拼八湊
e	a mound	垔	封土
e	a mountain of	堆積如山
e	a mountain peak	厜
e	a mouth or opening	谽
e	a mouthful	一口
e	a move	一舉	招	走子
e	a move in chess	著
e	a multitude	人海
e	a musical	音樂劇
e	a musical score	樂譜
e	a mute	啞子	啞巴
e	a nap	覺
e	a narrow bed	臥榻
e	a narrow escape	天幸
e	a narrow gap	少間
e	a narrow slit window	弦月窗
e	a narrow street	夾道
e	a nation's power	國力
